id,name,state,country,
U117,Kyaukphyu Education College,Rakhine,Myanmar
U118,Sittwe University,Rakhine,Myanmar
U119,Taunggup College[1],Rakhine,Myanmar
U120,Technological University,Sittwe,Myanmar
U121,Computer University,Kalay,Myanmar
U122,Computer University,Monywa,Myanmar
U123,Technological University,Sagaing,Myanmar
U124,Sitagu World Buddhist University,Sagaing,Myanmar
U125,Government Technical College,Shwebo,Myanmar
U126,McNeilus Maranatha Christian College,Kalay,Myanmar
U127,Monywa Education College,Sagaing,Myanmar
U128,Monywa Institute of Economics,Sagaing,Myanmar
U129,Monywa University,Sagaing,Myanmar
U130,Sagaing Institute of Education,Sagaing,Myanmar
U131,Co-operative University,Sagaing,Myanmar
U132,Shwebo University,Sagaing,Myanmar
U133,Technological University,Monywa,Myanmar
U134,University for the Development of the National Races of the Union,Sagaing,Myanmar
U135,University of Kalay,Sagaing,Myanmar
U136,Technological University (Kalay),Sagaing,Myanmar
U137,Nationalities Youth Resource Development Degree College,Sagaing,Myanmar
U138,Sagaing University,Sagaing,Myanmar
U139,Sagaing University of Education,Sagaing,Myanmar
U140,Computer University,Lashio,Myanmar
U141,Computer University,Kyaingtong,Myanmar
U142,Computer University,Panglong,Myanmar
U143,Computer University,Taunggyi,Myanmar
U144,Kyaingtong University,Shan,Myanmar
U145,Lashio University,Shan,Myanmar
U146,Lashio Education College,Shan,Myanmar
U147,Panglong University,Shan,Myanmar
U148,Taunggyi Education College,Shan,Myanmar
U149,Taunggyi University,Shan,Myanmar
U150,Technological University,Kyaingtong,Myanmar
U151,Technological University,Lashio,Myanmar
U152,Technological University,Panglong,Myanmar
U153,Technological University,Taunggyi,Myanmar
U154,University of Medicine,Taunggyi,Myanmar
U155,University of Computer Studies (Taunggyi),Shan,Myanmar
U156,Shan State Buddhist University,Taunggyi,MyanmarShan
U157,Computer University,Dawei,Myanmar
U158,Computer University,Myeik,Myanmar
U159,Dawei Education College,Tanintharyi,Myanmar
U160,Dawei University,Tanintharyi,Myanmar
U161,Myeik University,Tanintharyi,Myanmar
U162,Technological University,Dawei,Myanmar
U163,Technological University,Myeik,Myanmar
U164,Yangon Region[edit],Yangon,Myanmar
U165,Central Co-operative College,Phaunggyi,Myanmar
U166,Co-operative University,Thanlyin,Myanmar
U167,City University,Yangon,Myanmar
U168,Dagon University,Yangon,Myanmar
U169,Yangon University of Distance Education,Yangon,Myanmar
U170,Mandalay University of Distance Education,Yangon,Myanmar
U171,Defence Services Institute of Nursing and Paramedical Science,Yangon,Myanmar
U172,Defence Services Medical Academy,Yangon,Myanmar
U173,Hlegu Education College,Yangon,Myanmar
U174,International Theravada Buddhist Missionary University,Yangon,Myanmar
U175,Karen Baptist Theological Seminary,Yangon,Myanmar
U176,Lorrain Theological College,Yangon,Myanmar
U177,Myanmar Institute of Theology,Yangon,Myanmar
U178,Myanmar Maritime University,Yangon,Myanmar
U179,National Management University of Myanmar,Yangon,Myanmar
U180,Nationalities Youth Resource Development Degree College,Yangon,Myanmar
U181,State Pariyatti Sasana University,Yangon,Myanmar
U182,Thingangyun Education College,Yangon,Myanmar
U183,University of Computer Studies,Yangon,Myanmar
U184,University of Culture,Yangon,Myanmar
U185,University of Dental Medicine,Yangon,Myanmar
U186,University of Distance Education,Yangon,Myanmar
U187,University of East Yangon,Yangon,Myanmar
U188,University of Foreign Languages,Yangon,Myanmar
U189,University of Information Technology,Yangon,Myanmar
